codigo,marca,equivalencia
04892339AA,MOPAR,BLS1447
9451080065,AGRALE,BPS-8125339
905411510018,AGRALE,BAE-2835
6005001063000,AGRALE,BPS-8125339
6007001743003,AGRALE,BAE-5627SR
6007001744001,AGRALE,BAE-5627S
6008006040007,AGRALE,BPF-57014
6112101056007,AGRALE,BAE-4225SR
7006001098001,AGRALE,BPS-8125339
7006011810001,AGRALE,BPS-8125339
8009101117003,AGRALE,BAE-2835
8013101026008,AGRALE,BAE-5628SR
8013101027006,AGRALE,BAE-5628S
600700001743003,AGRALE,BAE-5627SR
72101,Bosch,BLS-27
72102,Bosch,BLS-1A
72104,Bosch,BLS-1A
72105,Bosch,BLE-178
72108,Bosch,BLS-916
72114,Bosch,BLS-33
72115,Bosch,BLS-19N
72120,Bosch,BLS-561
72124,Bosch,BLS-29
72125,Bosch,BLS-30N
72131,Bosch,BLS-450
72132,Bosch,BLS-111
72133,Bosch,BLS-916
72137,Bosch,BLS-29
72137,Bosch,BLS-15
72140,Bosch,BLE-931
72142,Bosch,BLS-21
72142,Bosch,BLS-3950
72142,Bosch,BLS-682
72143,Bosch,BLS-56
72147,Bosch,BLS-540
72150,Bosch,BLS-561
72151,Bosch,BLS-21
72160,Bosch,BLS-682
72161,Bosch,BLS-330
72161,Bosch,BLS-11
72163,Bosch,BLS-916
72166,Bosch,BLS-3001
72168,Bosch,BLS-682
72171,Bosch,BLS-561
72174,Bosch,BLS-72
72175,Bosch,BLS-540
72176,Bosch,BLS-3005
72177,Bosch,BLS-330
72178,Bosch,BLS-330
72178,Bosch,BLS-11
72179,Bosch,BLS-3007
72181,Bosch,BLS-210
72182,Bosch,BLS-51
72185,Bosch,BLS-1A
72188,Bosch,BLS-3950
72189,Bosch,BLS-650
72198,Bosch,BLS-650
72211,Bosch,BLS-916
73201,Bosch,AE-370
73201,Bosch,AE-118
73202,Bosch,AE-145
73203,Bosch,AE-3660
73206,Bosch,AE-660
73209,Bosch,AE-250
